district,blood_bank,blood_bank_address,contact_person,contact_number
agbadookeodo,Hamkad Hospital,"olawalecolestreet,abule-egb",Dr. Rahman M.A.,8033301875
agege,Jijoho Medical Laboratory,",arigbanlastreet.orile–agege",Mrs. Ifeoluwa Ogungbe,8039410977
agege,Mobonike Diagnostic Centre,",surulerestreet,dopemu,agege",Mrs. Adenike Oyedeji,8023152401
agege,Oris Medical Laboratory,",ajayiroad,ogba,ikej",Mr. Olayinka Oriyomi,8035791359
agege,Sam Medical  Laboratories,"/adenlestreet,oke-kotoagege",Mr. Musa S.A.,08090752483 . 07031566488
agege,C.J Diamond Medical Diagnostic,",ajiboyecrescent,orileagege",Mr. Anorue C. J.,08033331071 / 07080516957
agege,Olivia Medical Diagnostic Center,",yayaabatanstreet,ogba,",Mr. Chukwudi Ezebube,08181020043 / 08135959493
agege,Promise Diagnostics,",dopemuroad,agege,lagos.",Dr. Adeleke W.A.,8033033281
ajeromiifelodun,Prime Diagnostic  Service,",kirikiriroad,olodiapap",Mr. Sobowale Gbenga,8023004974
ajeromiifelodun,Options Medical Diagnostics,",ojord,ajegunle,ajeromiifelodun",Mr. Mofikoya O.A.,8023067174
ajeromiifelodun,Mass -Tag Diagnostic,"abakare–farostreet,mosafejoamukoko",Mrs. A. Agbesanwa,8023310449
ajeromiifelodun,Tolu Medical Centre,amodutijanistreetolodi-apapa.ajegunle,Dr. Habib Olamitoye,"08035056039 , 08060040060"
ajeromiifelodun,Excellent Medical Diagnostic Services,",turnerstreet,offmosafejoroad,amukoko",Mr. Abolaji K. T,8056270300
ajeromiifelodun,Funtom Specialist Med. Diagnostic,"b,iganmuroadsariiganmu",Mr. Thomas Fabunmi,8034108366
alimosho,O.A.U Medical Diagnostic Centre,",lagosabeokuta,expressway,awori",Dr. Onowo Boyi,07065270777 / 08064986271
alimosho,Latma Int’l Medical Diagnostics,bagbelekalebusstopekoro road  abuleegba.,Chief Onu,"08023129909 , 08067047000"
alimosho,Healing Virtues Medical Diag. centre,",odubakinstreet,abuleegun,baruwa,ipaja.",Dr. Ajayi A O.,"08033340375 , 08065600183"
alimosho,Adrebs Medical Laboratory,oreloperoadshopbamorishopping orelope egbe,Mr. Olateju R.O.,8058416889
alimosho,Joas Medical Diagnostic,",okesunast,ikotun",Mr. Efughi Victor,"08033535729 , 08032509975"
alimosho,Sul-ak Medical Laboratory Services,"bassociationavenuegovernorroad,ikotun.",Chief Akinjobi,8033326650
alimosho,Soulcare Medical Laboratory,"blkc,shop,akejamarket,,isoloroad,ile–iweb/stop,ikotun",Mrs. Rachael Bello,8034676220
alimosho,Sofeymed Diagnostic Medical Lab.,",sunnyalebiosustreet,iyana-ipaja.",Mr. Adeyokunnu A.A.,"08023305632 , 08186138038"
alimosho,God’s Own Diagnostics Services,",isaiahshonekanstreetoluwaga,ipajaayobo",Agesse M.O,8034714941
alimosho,Bio assay Laboratory,isoloroadegbe,Adeoyo Rasheed,8033542417
amuwoodofin,Kosy Medical Laboratory,"rdavenue,roaddclosefesta",Mrs. Okolo M.,8033583897
amuwoodofin,Pathfinder Laboratory,"road,kclose,block,festactown",Mr. Effiong M. J.,8033187411
amuwoodofin,Malgoz Clinical laboratories,",akanbisoetanstreet,alakijab/s,amuwoodofin",Mr. Ogala C.,8033251912
amuwoodofin,Emel Hospital Ltd.,"road,zclosefestactown",Dr. Mobolaji Lawa,"08033018418 , 07068831802"
apap,Lagoon Hospital,",marineroad,apap",Dr. Falase M. K," 08068384870, 08033248067"
apap,Cardinal Point Medical Lab Centre,",wilmercrescent,opp.abayomiplazaolodi-apapa,lagos",Mrs. Anyansi Chidimma,8024679881
apap,Bimade Diagnostic Services,/ijoracauseway ijor,Mrs. Adekoya Vivian.,"08037144281, 08033770797"
badagry,Unique Medical Lab & Blood Bank,marketwayoppositebadagrytownh,Mr. Jubil O.A.,08033931563 / 08028985633
badagry,De Winner Medical Diagnostic Centre,",alaranestate,mowo,badagry.",Dr. Oscar Linus,8031111616
bariga,Excel-T Diagnostic Service,",ijagbemistreet,popoola,bari",Mrs. Asekun G.A,08028329238 / 08055110528
coker-aguda,Curelink Diagnostics,",cokerroad,cokervillage,orileiganmu",Dr. Okonkwo Alex,"08033224438 , 08033259244"
coker-aguda,Ideal Solace Diagnostic Centre,adeyemistreetoffabustreetorileiganmu,Mr. Paschal E. Udofia,8033486395
coker-aguda,D-Precise Medical Laboratories,",adetolastreet,aguda,surulere",Mr. Daniel Okpechi,8033475240
eti-osawest,The Premiers’ Specialist Medical Centre,",ogunladeclose,offologunagbajestreet,victoriaislan",Dr. Ogunlaja. O,8172011509
eti-osawest,First Consultant Medical Centre,"–,ikoyiroad,obalende",Dr. Fadipe A.,08035880602 / 08035855381
eti-osawest,St IVES Specialist Hospital,",sulemaitamastreet,ikoyi",Dr. Ives Okewale,8023134110
